Center of the cluster (IPC code),Field of Knowledge,Member of the cluster (IPC code),Name of the IPC code,,,,,,,
A01D,Harvesting,A01B,"Soil working in agriculture or forestry; parts, details, or accessories of agricultural machines or implements ",,,,,,,
,,A01D,Harvesting; Mowing,,,,,,,
,,A01F,"Threshing; Baling of straw, hay or the like;
Stationary apparatus or hand tools for forming or
binding straw, hay or the like into bundles; Cutting
of straw, hay or the like; Storing agricultural or horticultural produce",,,,,,,
,,C13H,"Cutting machines for sugar; Co,bined cutting, sorting and packing machines for sugar",,,,,,,
A01J,Milking,A01J,Manufacture of dairy products,,,,,,,
A01L,Shoeing of Animals,A01L,Shoeing of animals ,,,,,,,
A01M,Animal slaughtering,A01M,"Catching, trapping or scarping of animals",,,,,,,
,,H05C,"Electric circuits or apparatus specially designed for use in equipment for killing, stunning, enclosing or guiding living beings",,,,,,,
A01N,Pesticides,A01N,"Preservation of bodies of humans or animals or plants or parts thereof; Biocides, e.g. as disinfectants, as pesticides, as herbicides; Pest repellants or attractants; Plant growth regulators ",,,,,,,
,,A01P,"Biocidal, pest repellant, pest attraction or plant growth regulatory activity of chemical compounds or preparations",,,,,,,
A22C,Meat Processing,A22B,Slaughtering,,,,,,,
,,A22C,"Processing meat, poultry, or fish",,,,,,,
A23L,"Foods, Foodstuffs, or Non-alcoholic Beverages",A21C,Machines or equipment for making or processing doughs; handling baked articles made from dough,,,,,,,
,,A21D,"Treatment, e.g. preservation, of flour or dough for
baking, e.g. by addition of materials; Baking;
Bakery products; Preservation thereof",,,,,,,
,,A23B,"Preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seeds; Chemical ripening of
fruit or vegetables; The preserved, ripened, or
canned products",,,,,,,
,,A23C,"Dairy products, e.g. milk, butter, cheese; Milk or
cheese substitutes; Making thereof",,,,,,,
,,A23D,"Edible oils or fats, e.g. margarines, shortenings,
cooking oils",,,,,,,
,,A23F,"Coffee; Tea; Their substitutes; Manufacture,
preparation, or infusion thereof",,,,,,,
